2023-12-09 23:09:04,663 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:09:04,663 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:10:09,064 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:10:09,187 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:10:09,187 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:11:13,011 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:11:13,223 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:11:13,223 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:11:18,662 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:11:18,697 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:11:18,697 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:11:31,319 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:11:31,337 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:11:31,337 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:12:16,749 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:12:16,845 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:12:16,845 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:12:34,990 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:12:35,064 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:12:35,064 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:12:55,232 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:12:55,232 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:12:55,232 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:13:11,737 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:13:11,829 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:13:11,829 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:13:26,433 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:13:26,464 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:13:26,464 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:13:35,018 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:13:35,139 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:13:35,139 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:13:51,805 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:13:51,897 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:13:51,897 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:14:43,286 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:14:43,396 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:14:43,396 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:14:56,142 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:14:56,232 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:14:56,232 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:16:27,569 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:16:27,635 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:16:27,635 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:16:50,791 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:16:52,037 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:16:52,037 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:17:26,258 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:17:26,350 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:17:26,350 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:18:12,332 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:18:12,406 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:18:12,406 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:18:41,346 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:18:41,642 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:18:41,642 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:19:27,112 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:19:27,201 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:19:27,201 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:20:23,132 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:20:23,194 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:20:23,194 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:20:52,890 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:20:52,941 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:20:52,941 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:20:58,604 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:20:58,640 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:20:58,640 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:21:02,590 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:21:02,622 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:21:02,624 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:21:11,180 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:21:11,199 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:21:11,199 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
